tdate	ttime	sensorVAC	sensorVBat	sensorIBat	sensorILoad	modemType	sensorModem0	sensorModem1	sensorModem2	sensorModem3	sensorBUC	sensorSCPC	sensorSCADA	sensorTemp	sendStatus
2015-12-03	15:45:03	266.46	50.18	-0.96	0.59	Hughes HX-50	6.59	13.54	19.52	24.07	50	50.02	11.94	23	1
2015-12-03	15:47:04	266.46	50.18	-0.96	0.59	Hughes HX-50	6.58	13.54	19.52	24.07	50	50.02	11.94	23	1
2015-12-03	15:49:09	266.46	50.18	-0.96	0.59	Hughes HX-50	6.59	13.54	19.52	24.07	50	50.02	11.94	23	1
2015-12-03	15:51:03	266.46	50.18	-0.96	0.59	Hughes HX-50	6.59	13.54	19.52	24.07	50	50.02	11.94	23	1
2015-12-03	15:53:03	266.46	50.18	-0.96	0.59	Hughes HX-50	6.59	13.54	19.52	24.07	50	50.02	11.94	23	1
2015-12-03	15:55:04	265.93	50.18	-0.96	0.59	Hughes HX-50	6.59	13.54	19.52	24.07	50	50.02	11.94	23	1
2015-12-03	15:57:09	266.46	50.18	-0.96	0.59	Hughes HX-50	6.59	13.54	19.52	24.07	50	50.02	11.94	23	1
2015-12-03	15:59:08	265.93	50.18	-0.96	0.59	Hughes HX-50	6.59	13.54	19.52	24.04	50	50.02	11.94	23	1
2015-12-03	16:01:04	266.46	50.18	-0.96	0.59	Hughes HX-50	6.59	13.54	19.52	24.07	50	50.02	11.94	23	1
2015-12-03	16:03:17	262.74	53.45	12.58	0.67	Hughes HX-50	6.59	13.54	19.55	24.07	53.06	53.13	11.94	24	1
2015-12-03	16:05:03	262.21	57.42	8.95	0.59	Hughes HX-50	6.59	13.54	19.55	24.07	55	54.85	11.94	24	1
2015-12-03	16:20:07	265.93	50.65	-0.96	0.59	Hughes HX-50	6.59	13.54	19.52	24.07	50.48	50.51	11.94	24	1
2015-12-03	16:22:04	265.4	50.42	-0.96	0.59	Hughes HX-50	6.59	13.54	19.52	24.07	50.37	50.4	11.94	24	1
2015-12-03	16:24:03	265.93	50.42	-0.96	0.59	Hughes HX-50	6.59	13.54	19.52	24.04	50.27	50.29	11.94	24	1
2015-12-03	16:32:29	265.4	49.95	-2.74	2.37	Hughes HX-50	6.59	13.56	19.58	24.1	49.73	49.76	11.97	23	1
2015-12-03	16:35:04	259.55	57.42	7.4	2.15	Hughes HX-50	6.59	13.56	19.58	24.1	55	54.85	11.97	24	1
2015-12-03	16:37:03	261.68	57.42	6.21	2.15	Hughes HX-50	6.59	13.56	19.58	24.1	55	54.85	11.97	24	1
2015-12-03	16:39:04	263.27	57.42	5.84	2.15	Hughes HX-50	6.59	13.56	19.58	24.1	55	54.85	11.98	24	1
2015-12-03	16:41:09	262.74	57.65	5.7	2.22	Hughes HX-50	6.59	13.56	19.58	24.1	55	54.85	11.97	26	1
2015-12-03	17:00:29	261.14	50.65	-2.52	2.15	Hughes HX-50	6.59	13.56	19.58	24.1	50.64	50.67	11.97	25	1
2015-12-03	17:02:09	262.21	50.65	-2.52	2.15	Hughes HX-50	6.59	13.56	19.58	24.1	50.53	50.56	11.97	25	1
2015-12-03	17:04:08	262.74	50.42	-2.52	2.15	Hughes HX-50	6.59	13.56	19.58	24.1	50.37	50.45	11.97	25	1
2015-12-03	17:06:04	262.21	50.18	-2.52	2.15	Hughes HX-50	6.59	13.56	19.58	24.1	50.27	50.29	11.97	25	1
2015-12-03	17:08:04	0	49.95	-3.7	3.26	Hughes HX-50	6.6	13.57	19.58	24.13	49.94	49.97	11.98	25	1
2015-12-03	17:10:07	257.42	54.15	10.06	3.11	Hughes HX-50	6.6	13.57	19.61	24.16	53.71	53.78	11.98	25	1
2015-12-03	17:12:09	0	49.95	-1.11	3.48	Hughes HX-50	6.6	13.57	19.58	24.13	49.84	49.86	11.98	25	1
2015-12-03	17:14:04	0	49.72	-1.26	3.7	Hughes HX-50	6.6	13.57	19.58	24.16	49.57	49.6	11.98	25	1
2015-12-03	17:16:04	0	49.72	-1.26	3.7	Hughes HX-50	6.6	13.57	19.58	24.16	49.51	49.54	11.98	25	1
2015-12-03	17:18:04	259.02	54.38	9.77	3.18	Hughes HX-50	6.61	13.57	19.61	24.16	54.03	54.05	11.98	25	1
2015-12-03	17:20:03	264.87	51.58	-3.63	3.03	Hughes HX-50	6.6	13.59	19.58	24.16	51.61	51.63	11.98	25	1
2015-12-03	17:22:03	264.87	50.18	-3.85	3.33	Hughes HX-50	6.6	13.57	19.58	24.13	50.1	50.08	11.98	25	1
2015-12-03	17:24:04	260.08	55.55	9.32	3.11	Hughes HX-50	6.61	13.57	19.61	24.16	54.94	54.8	11.98	25	1
2015-12-03	17:26:08	259.02	57.42	8.06	2.96	Hughes HX-50	6.6	13.57	19.61	24.13	55	54.85	11.98	27	1
2015-12-03	17:28:03	257.95	57.42	6.14	3.03	Hughes HX-50	6.6	13.57	19.61	24.16	55	54.85	11.98	29	1
2015-12-03	17:30:04	256.89	57.42	5.55	3.03	Hughes HX-50	6.6	13.57	19.58	24.13	55	54.85	11.98	30	1
2015-12-03	17:32:04	255.29	57.42	5.4	3.03	Hughes HX-50	6.6	13.57	19.58	24.16	55	54.85	11.98	30	1
2015-12-03	17:34:08	261.14	50.88	-3.77	3.26	Hughes HX-50	6.6	13.59	19.61	24.16	50.96	50.99	11.98	30	1
2015-12-03	17:36:04	260.61	50.65	-3.77	3.33	Hughes HX-50	6.6	13.59	19.61	24.16	50.59	50.61	11.98	29	1
2015-12-03	17:38:04	260.08	50.42	-3.85	3.33	Hughes HX-50	6.6	13.59	19.58	24.16	50.37	50.4	11.98	28	1
